date,symbol,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2023-01-02,RKFORGE,10:30,266.0,1253,333298.0,262.6,272.79999999999995,2.0,"CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",2,4.375,ORB-30,ORB-30: breakout above 266.00 (range=3.40),15:15,264.65,TIME_EXIT,LOSS,-2191.84,-0.66,47.1,STANDARD
2023-01-03,FIVESTAR,09:20,622.1075,535,332827.51,616.42875,644.8224999999999,4.0,"CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC,VWAP-REV",2,2.1935,CAMARILLA,CAMARILLA: breakout above H4=622.11,09:25,644.8224999999999,TARGET_HIT,EXACT_WIN,11641.92,3.5,48.6,STANDARD
2023-01-04,ICICIGI,09:15,1265.9916666666668,263,332955.81,1263.975,1270.0250000000005,2.0,"ASC-TRI,BOLLINGER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,RSI-EXT,SUPERTREND,VPOC,VWAP-STDDEV",3,4.1936,CPR,"CPR: narrow CPR, breakout above TC=1265.99",09:20,1270.0250000000005,TARGET_HIT,EXACT_WIN,558.77,0.17,49.7,STANDARD
2023-01-05,BALKRISIND,09:20,2144.44,155,332388.2,2137.0699999999997,2173.9200000000005,4.0,"ASC-TRI,CAMARILLA,CPR,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",4,5.5937,CAMARILLA,CAMARILLA: breakout above H4=2144.44,09:35,2173.9200000000005,TARGET_HIT,EXACT_WIN,4065.4,1.22,57.5,STANDARD
2023-01-06,BALKRISIND,09:15,2188.0,152,332576.0,2178.0255102040815,2226.4030612244896,3.85,"ADX-FILTER,ASC-TRI,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",4,3.0,VPOC,VPOC: rejection below VPOC=2190.12,09:20,2178.0255102040815,STOP_HIT,LOSS,-2015.56,-0.61,48.3,STANDARD
2023-01-09,SBILIFE,09:25,1281.2475,260,333124.35,1275.62375,1303.7424999999998,4.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,SR-BREAK,STOCHASTIC,VPOC",4,3.5998,CAMARILLA,CAMARILLA: breakout above H4=1281.25,14:40,1303.7424999999998,TARGET_HIT,EXACT_WIN,5342.68,1.6,49.1,STANDARD
2023-01-10,CIEINDIA,09:15,345.7938775510204,963,332999.5,344.9780612244898,349.55918367346936,4.62,"ASC-TRI,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",3,3.9062,VPOC,VPOC: breakout above VAH=345.79,09:20,344.9780612244898,STOP_HIT,LOSS,-1286.23,-0.39,48.0,STANDARD
2023-01-11,HCLTECH,09:15,1065.1163265306122,312,332316.29,1064.9530612244898,1071.6469387755103,40.0,"ADX-FILTER,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,RSI-EXT,SR-BREAK,STOCHASTIC,VPOC,VWAP-STDDEV",4,3.6936,VPOC,VPOC: breakout above VAH=1065.12,09:20,1071.6469387755103,TARGET_HIT,EXACT_WIN,1535.65,0.46,49.9,STANDARD
2023-01-12,DALBHARAT,09:15,1874.7875,177,331837.39,1868.39375,1900.3624999999997,4.0,"ASC-TRI,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",3,3.006,CAMARILLA,CAMARILLA: breakout above H4=1874.79,09:25,1900.3624999999997,TARGET_HIT,EXACT_WIN,4023.56,1.21,48.7,STANDARD
2023-01-13,HCLTECH,12:45,1066.95,312,332888.4,1065.1326530612246,1073.3979591836735,3.55,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,REL-STR,RSI-EXT,SR-BREAK,SUPERTREND,VOL-SPIKE,VPOC",4,7.6311,VPOC,VPOC: rejection below VPOC=1068.85,13:25,1073.3979591836735,TARGET_HIT,EXACT_WIN,1509.1,0.45,57.7,STANDARD
2023-01-16,WIPRO,12:40,190.6,1748,333168.8,186.347,199.10599999999997,2.0,"CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VOL-SPIKE",3,6.8498,VOL-SPIKE,"VOL-SPIKE: price at resistance 190.15, vol 2.0x avg",15:15,190.6,TIME_EXIT,LOSS,-501.45,-0.15,57.7,STANDARD
2023-01-17,HEG,09:15,218.25,1527,333267.75,213.885,224.7975,1.5,"ADX-FILTER,BOLLINGER,DAILY-BIAS,DBL-BTM,MACD,RSI-EXT,VWAP-STDDEV",3,1.6936,RSI-EXT,"RSI-EXT: RSI=24.2 oversold, buy reversion",15:15,217.3,TIME_EXIT,LOSS,-1951.09,-0.59,51.9,STANDARD
2023-01-18,TATASTEEL,09:15,113.34142857142857,2940,333223.8,113.17520408163264,114.5604081632653,7.33,"BULL-FLAG,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",3,3.8302,VPOC,VPOC: breakout above VAH=113.34,09:20,114.5604081632653,TARGET_HIT,EXACT_WIN,3079.44,0.92,48.7,STANDARD
2023-01-19,EXIDEIND,13:25,189.7,1757,333302.9,184.877,199.34599999999995,2.0,"CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VOL-SPIKE,VPOC",4,6.631,VOL-SPIKE,"VOL-SPIKE: price at resistance 188.65, vol 2.2x avg",15:15,189.55,TIME_EXIT,LOSS,-764.97,-0.23,58.0,STANDARD
2023-01-20,ANANTRAJ,09:20,122.51428571428572,2720,333238.86,122.46785714285716,125.39285714285715,62.0,"BULL-FLAG,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,MACD,PDH-PDL,STOCHASTIC,VPOC,VWAP-STDDEV",2,4.4024,VPOC,VPOC: breakout above VAH=122.51,09:25,122.46785714285716,STOP_HIT,LOSS,-627.73,-0.19,48.8,STANDARD
2023-01-23,GAIL,09:15,87.49102040816327,3809,333253.3,87.37030612244898,88.04285714285714,4.57,"ASC-TRI,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,GAP-CONT,PDH-PDL,REL-STR,VOL-SPIKE,VPOC",4,5.7717,VPOC,VPOC: breakout above VAH=87.49,09:20,88.04285714285714,TARGET_HIT,EXACT_WIN,1598.72,0.48,59.4,STANDARD
2023-01-24,SAIL,10:00,91.85,3629,333323.65,90.01299999999999,94.60549999999999,1.5,"BOLLINGER,DAILY-BIAS,DBL-BTM,MACD,RSI-EXT,VWAP-STDDEV",2,0.9436,RSI-EXT,"RSI-EXT: RSI=24.6 oversold, buy reversion",15:15,91.1,TIME_EXIT,LOSS,-3221.26,-0.97,51.7,STANDARD
